accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
3,1.0,1.0,1,1,1.0,52.3390045537,4.9444415335,5,7,5.410323606771051,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3749806957,4.8901040498,3,9,0.786783049155715,1,0,1,0,0
5,2.0,5.0,11,2,15.0,52.4018262742,4.9140412267,6,4,2.703667773019475,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3504483725,4.7984210192,2,0,7.561759951931974,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3610439506,4.9438953167,5,3,3.628638792924905,1,0,1,0,0
2,1.0,2.0,2,1,3.0,52.3629683574,4.8497895584,3,1,3.8200287236101347,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3698560181,4.8550315879,2,7,3.185677919076815,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3397147128,4.9262396596,2,15,4.748916177626846,1,0,1,0,0
4,1.0,2.0,1,1,2.0,52.3808001014,4.8902746392,4,37,0.6463936155668114,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.3561831594,4.7843010484,3,1,8.219498829932954,1,0,1,0,0
4,2.0,2.0,2,4,2.0,52.3688785918,4.8725089173,3,5,2.156079332598036,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3283145964,4.8613321794,2,10,6.2167578498392615,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3652328632,4.8703929689,3,1,2.5072838884692166,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3750745772,4.900520131,2,107,0.46314689334497056,1,0,1,0,0
4,1.0,2.0,1,4,1.0,52.3765140139,4.8621807909,5,8,2.5443471465051126,1,0,1,0,0
2,1.0,1.0,3,1,3.0,52.3739719179,4.9228619194,1,0,1.6919434026947933,1,0,0,1,0
3,1.0,1.0,38,1,43.0,52.3707945856,4.9089102692,2,2,1.1330165934488767,1,0,1,0,0
2,1.0,1.0,42,1,43.0,52.3761645434,4.8983881981,3,30,0.3434570555114816,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3927021253,4.9150919412,2,45,1.8393448803308943,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3736982115,4.9221997075,2,19,1.6607481195631648,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3769336063,4.8480999418,2,3,3.491109843849396,1,0,1,0,0
3,1.0,2.0,2,1,2.0,52.3520198197,4.8892493525,1,5,3.0972165801237206,1,0,1,0,0
4,2.0,2.0,3,4,3.0,52.3592858505,4.8191511404,2,8,5.878879092249514,1,0,1,0,0
2,1.0,1.0,1,2,2.0,52.3579920467,4.9148713594,3,18,2.57798243501961,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3825688641,4.8756547235,2,22,1.6559445436979383,1,0,1,0,0
2,1.0,1.0,1,1,2.0,52.3786886551,4.8492372575000005,1,7,3.4053368381767246,0,1,0,1,0
6,1.0,3.0,1,4,1.0,52.3741514268,4.8374232655,2,14,4.243584495279711,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3434926074,4.9180648297000005,1,4,4.163442755862916,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3519064777,4.8836072516,3,4,3.216292619791727,1,0,1,0,0
5,1.0,2.0,1,4,1.0,52.3604286777,4.94014033,1,2,3.460526214726687,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.321437761,4.9641223882,3,0,7.776126213908971,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3719073813,4.880988433,3,25,1.4900062806891485,1,0,1,0,0
4,1.0,2.0,2,2,2.0,52.3872900094,4.8912167634,4,42,1.0586925537635141,0,1,0,1,0
4,1.0,3.0,1,1,1.0,52.3250231296,4.8766839744,2,11,6.214056321148435,1,0,1,0,0
2,1.0,1.0,19,1,21.0,52.3633557136,4.9364434435,2,0,3.066222260298659,0,1,1,0,0
4,1.0,2.0,1,2,1.0,52.3614955786,4.8548907054,2,6,3.6052992664325716,1,0,1,0,0
1,1.0,1.0,1,1,1.0,52.3621302399,4.9302424599,3,3,2.8219897664705167,0,1,0,1,0
2,1.0,2.0,1,1,1.0,52.3763196692,4.89226388,2,7,0.5814225775182383,1,0,1,0,0
4,2.0,3.0,1,4,1.0,52.3464184554,4.8886695853,4,1,3.714129753102293,1,0,1,0,0
4,1.0,2.0,1,3,1.0,52.3857408067,4.9296286997,2,0,2.173841028500597,1,0,1,0,0
4,1.0,2.0,1,3,1.0,52.3538664925,4.9990937722,2,45,7.324607307883875,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3622616459,4.8998005654,1,9,1.8812212537713777,1,0,1,0,0
2,1.0,1.0,3,1,3.0,52.3720765936,4.8790393022,1,0,1.5932337723934078,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3191337949,4.9738889952,2,2,8.371553618493671,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3562344399,4.8966161802,1,1,2.5579682663926637,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3687246272,4.89385304,1,2,1.222879582794898,1,0,1,0,0
4,1.5,3.0,1,1,1.0,52.3638532776,4.8781239789,3,8,2.234726707918215,1,0,1,0,0
1,1.0,1.0,1,1,1.0,52.3698750026,4.8493092677,1,87,3.5543717663786776,1,0,0,1,0
2,1.5,1.0,1,1,1.0,52.3723096221,4.9059752117,3,0,0.8840334220714688,1,0,0,1,0
5,1.5,2.0,1,1,1.0,52.3729450515,4.8715744791,2,14,2.013119835551663,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3701699864,4.9143778268,3,16,1.4257296631035192,1,0,1,0,0
4,1.5,2.0,2,4,2.0,52.3623294353,4.8964463558,2,28,1.8844329246504445,1,0,1,0,0
1,1.0,1.0,1,1,1.0,52.4058582104,4.9140312407,2,11,3.1246336299271835,0,1,0,1,0
2,1.0,1.0,1,1,1.0,52.3666948769,4.8424147269,1,35,4.109836666210254,1,0,0,1,0
4,1.5,2.0,2,2,2.0,52.3683812692,4.9080283447,6,2,1.3351503699404061,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3529831273,4.8516509747,29,4,4.357942752437347,1,0,1,0,0
3,1.0,1.0,1,1,1.0,52.3962000191,4.9160262733,1,2,2.200047764421039,1,0,1,0,0
4,1.5,4.0,1,2,1.0,52.351203061,4.8584982999,2,0,4.169697875322399,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3672285663,4.8754458326000005,2,13,2.1010545205284448,1,0,1,0,0
3,1.0,2.0,1,3,1.0,52.3799719502,4.8870703999,2,12,0.8429688409375043,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3678338101,4.873565068,2,5,2.161405155190654,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3572789784,4.8972566937,3,3,2.439219177323216,0,1,0,1,0
2,1.5,1.0,1,1,1.0,52.3722814149,4.8974672105,2,0,0.7790812532706176,0,1,1,0,0
4,1.0,1.0,1,1,1.0,52.3624447252,4.9342162932,4,6,3.0053707541041,1,0,1,0,0
2,1.0,1.0,1,2,3.0,52.3735784566,4.8763132025,3,1,1.687668948773888,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.370696223,4.8737997405,2,6,1.9784539618980204,0,1,1,0,0
4,1.0,2.0,1,2,1.0,52.3687110921,4.9322792066000005,2,14,2.5143506510443348,1,0,1,0,0
1,1.0,1.0,1,1,1.0,52.3719371507,4.8766123539,1,31,1.7452136263570288,1,0,0,1,0
3,1.5,3.0,2,3,3.0,52.3434093477,4.9034612625000005,1,3,3.9854135865389027,1,0,1,0,0
4,1.5,2.0,2,4,2.0,52.3794587181,4.8708329209,2,10,1.9401598485372606,1,0,1,0,0
5,1.0,4.0,1,2,1.0,52.3505700437,4.8913127238000005,3,3,3.2276425874337606,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3572818509,4.9205171147,2,10,2.8237259840175626,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3639009101,4.9349561524,2,10,2.948815432457799,1,0,1,0,0
2,1.0,1.0,4,2,4.0,52.3752220404,4.8805938054,2,49,1.3517676649623014,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3681164967,4.8656349218,2,0,2.602116816648657,0,1,0,1,0
2,1.0,1.0,1,1,1.0,52.3638547622,4.9366086272,3,10,3.0440079343983086,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.346110082,4.8597866905,2,0,4.555184576574817,0,1,1,0,0
4,1.0,2.0,1,1,1.0,52.3419280876,4.9118111672,2,2,4.224999578491971,1,0,1,0,0
1,1.0,1.0,1,1,2.0,52.3662635993,4.925645945,2,75,2.28609995389179,1,0,0,1,0
3,1.0,3.0,1,1,1.0,52.4088233982,4.9023718616,3,2,3.2991587043876023,0,1,1,0,0
1,1.0,1.0,2,1,2.0,52.352308356099996,4.7972254023000005,2,52,7.55111886710964,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3819453755,4.8893412064,2,4,0.749829147701493,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3904394676,4.9289930109,1,175,2.3629040363939318,1,0,0,1,0
3,1.0,2.0,1,2,1.0,52.3595143056,4.92799968,3,2,2.9218867983149144,1,0,1,0,0
6,1.0,3.0,1,2,1.0,52.3536418429,4.9998134394000004,3,17,7.379300007876031,1,0,1,0,0
3,1.0,1.0,1,1,1.0,52.3708150092,4.8850872952,3,40,1.3464196257787804,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3781750081,4.8387428871000004,1,6,4.118332185663045,1,0,0,1,0
4,1.5,3.0,1,2,1.0,52.3422831918,4.898593909,2,8,4.101555538850432,1,0,1,0,0
3,1.0,1.0,10,2,10.0,52.3759940499,4.8912674777,1,55,0.6578250828405746,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3812851047,4.884524149,2,5,1.037655294218692,1,0,1,0,0
3,1.5,2.0,1,2,1.0,52.3566328593,4.9170967566,2,15,2.778413054083926,1,0,1,0,0
2,1.0,1.0,50,1,106.0,52.3827768439,4.8742024447,2,2,1.7571260492477858,1,0,1,0,0
7,2.0,3.0,1,4,2.0,52.3805614448,4.9089281152,2,2,0.6620282273856899,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3548170981,4.8990302222,2,7,2.708466886855623,1,0,1,0,0
4,2.0,2.0,1,1,2.0,52.376182427,4.890580497,2,100,0.6870908823898813,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3641458738,4.8846634238,2,1,1.948928575170626,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3964442503,4.9377167545,6,0,3.227851574183616,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3534861253,4.8846766007,3,16,3.026610935028251,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3603944138,4.8590464158,1,3,3.445272972721674,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3757547915,4.8892049248,4,1,0.7917501461727156,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3843478814,4.9136787091,5,18,1.1236707037052756,0,1,0,1,0
2,1.0,1.0,2,1,2.0,52.3719874916,4.8517250194,5,1,3.3338462165771006,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3440695222,4.9065281236,2,1,3.9322616886890027,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3644521741,4.9205736417,4,4,2.177027745079709,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3663444343,4.8662733540000005,2,4,2.6641781676088754,1,0,1,0,0
6,2.5,4.0,1,4,1.0,52.3700290617,4.8786422940000005,3,10,1.739300680839954,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3850699515,4.8749668807,3,3,1.783450333031846,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3599121906,4.8550026664,2,9,3.6980441589503843,1,0,0,1,0
2,1.5,1.0,1,1,3.0,52.3655795027,4.8919095173,2,155,1.596127666565843,1,0,0,1,0
2,1.0,0.0,2,1,2.0,52.3596586286,4.8954591932,2,4,2.1869815090097693,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3501040565,5.0125490953,3,0,8.328539757152592,1,0,1,0,0
2,1.0,1.0,31,1,34.0,52.353502311,4.8855119531,2,0,3.006629427057122,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3706062321,4.8933073366,2,0,1.0403109403592297,1,0,1,0,0
5,1.0,1.0,2,4,2.0,52.3829006417,4.9209806018,3,41,1.5188200158311684,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3595797782,4.854645729,3,16,3.7392266445695217,1,0,0,1,0
2,1.0,0.0,1,1,1.0,52.3754926054,4.8768184862,2,29,1.5880153919813207,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3648824072,4.9054788009,3,31,1.6419171842519664,1,0,0,1,0
4,1.5,2.0,2,1,2.0,52.3577064427,4.9217355306,90,73,2.8265346815931767,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3745128588,4.8822785268,2,10,1.2743482485692124,1,0,1,0,0
6,2.0,4.0,1,3,1.0,52.3682652554,4.866210864,4,14,2.5598704673708483,1,0,1,0,0
4,4.0,1.0,2,1,2.0,52.3826239699,4.8443193686,1,1,3.7577576477801062,1,0,1,0,0
2,1.0,1.0,1,1,2.0,52.3810194172,4.8552755039,1,96,3.002099295134938,1,0,0,1,0
2,1.0,1.0,3,1,3.0,52.3717549876,4.9006955938,2,47,0.8305481388178774,0,1,0,1,0
2,1.0,1.0,45,1,47.0,52.3635503017,4.9439750864,2,8,3.486196434750389,0,1,1,0,0
2,1.0,1.0,1,2,1.0,52.3820061316,4.8786496213,1,53,1.4439910203490858,1,0,1,0,0
2,1.0,1.0,1,2,2.0,52.3580775547,4.8589635208,2,19,3.611493116613813,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3650281038,4.853937981,1,16,3.4644942292695067,1,0,1,0,0
3,1.0,2.0,1,1,1.0,52.3479726976,4.92260176,3,7,3.80862123965208,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3718894267,4.9071608393,3,44,0.9659076945402206,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.3537043056,4.8588595897,3,24,3.9495317163053247,1,0,1,0,0
4,1.5,2.0,13,1,16.0,52.3414319798,4.9043072491,1,0,4.2087827054637055,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3548248943,4.8849210409,1,6,2.8809187090401562,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3739211412,4.8961495175,2,29,0.626289588073828,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3627735088,4.8506463223,1,8,3.779287856220319,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3705675198,4.9458202031,2,5,3.2896919312528095,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.3536586968,4.9387437275,2,19,3.8941747901135724,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3489573161,4.8643319471,2,12,4.11812038573094,1,0,1,0,0
4,2.5,3.0,3,4,3.0,52.3739495647,4.8719336651,4,170,1.9541301813304544,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3844827295,4.8797465022,21,0,1.459052346056447,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3711729638,4.9036530369,3,4,0.9356996127275429,1,0,1,0,0
4,1.5,3.0,1,1,1.0,52.3585511441,4.9211059754,3,5,2.724413849076483,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3745183697,4.8905152629,1,7,0.7969947292657747,1,0,0,1,0
3,1.0,2.0,1,2,1.0,52.3437754438,4.8607578251,2,4,4.730165664935592,1,0,1,0,0
2,0.5,1.0,1,1,1.0,52.352402047,4.8569301435,1,3,4.1445885604182715,1,0,0,1,0
2,1.0,0.0,1,1,1.0,52.3705319401,4.8813238535,2,1,1.560276616953094,1,0,1,0,0
2,1.0,2.0,2,1,2.0,52.362490269,4.845140478,1,2,4.1244789871398275,1,0,1,0,0
2,1.0,0.0,1,2,1.0,52.3693510354,4.9228836234,3,84,1.9304652153048998,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.359485941,4.8692861491,1,14,2.9962047799333886,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3441505003,4.8647021315,2,19,4.551354077788707,1,0,0,1,0
2,1.0,1.0,1,2,1.0,52.3868511558,4.9195737639,2,6,1.6098544307433191,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3509912524,4.89677208,1,21,3.138667956054423,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3746461066,4.8472775425,3,4,3.573816933689804,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3480257155,4.8586676479,2,12,4.432158504932852,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3719031052,4.9014777261999996,2,28,0.8214656229216203,1,0,0,1,0
3,1.0,1.0,1,1,1.0,52.3909838003,4.8758121043,3,1,2.0698326269183216,0,1,1,0,0
