Year,Stages,Started,Ended,Distance,Hour,Minutes,Seconds,Pace,Winner,Country,Age
1903,6,60,21,2428,94,33,0,25.679,M. Garin,Fra,32
1904,6,88,27,2428,96,5,56,25.265,H. Cornet,Fra,20
1905,11,60,24,2994,110,26,58,27.107,L. Trousselier,Fra,24
1906,13,82,14,4637,189,34,0,24.463,R. Pottier,Fra,27
1907,14,93,33,4488,158,45,5,28.47,L. Petit-Breton,Fra,24
1908,14,112,36,4488,156,53,29,28.74,L. Petit-Breton,Fra,25
1909,14,150,55,4497,157,1,22,28.658,F. Faber,Lux,22
1910,15,110,41,4734,162,41,30,29.099,O. Lapize,Fra,21
1911,15,84,28,5343,195,37,0,27.322,G. Garrigou,Fra,27
1912,15,131,41,5289,190,30,28,27.763,O. Defraye,Bel,24
1913,15,140,25,5287,197,54,0,26.715,P. Thys,Bel,23
1914,15,145,54,5380,200,28,48,26.835,P. Thys,Bel,24
1919,15,69,11,5560,231,7,15,24.056,F. Lambot,Bel,33
1920,15,113,22,5503,228,36,13,24.072,P. Thys,Bel,30
1921,15,123,38,5485,221,50,26,24.724,L. Scieur,Bel,33
1922,15,121,38,5375,222,8,6,24.196,F. Lambot,Bel,36
1923,15,139,48,5386,222,15,30,24.233,H. Pélissier,Fra,33
1924,15,157,60,5425,226,18,21,24.25,O. Bottecchia,Ita,30
1925,18,130,49,5440,219,10,18,24.82,O. Bottecchia,Ita,31
1926,17,126,41,5745,238,44,25,24.273,L. Buysse,Bel,34
1927,24,142,39,5398,198,16,42,27.224,N. Frantz,Lux,28
1928,22,162,41,5476,192,48,58,28.4,N. Frantz,Lux,29
1929,22,155,60,5286,186,39,16,28.319,M. Dewaele,Bel,33
1930,21,100,59,4822,172,12,16,28,A. Leducq,Fra,26
1931,24,81,35,5091,177,10,3,28.735,A. Magne,Fra,27
1932,21,80,57,4479,154,12,59,29.047,A. Leducq,Fra,28
1933,23,80,40,4395,147,51,37,29.818,G. Speicher,Fra,26
1934,23,60,39,4470,147,13,58,30.36,A. Magne,Fra,30
1935,21,93,46,4338,141,23,0,30.65,R. Maes,Bel,22
1936,21,90,43,4442,142,47,32,31.108,S. Maes,Bel,27
1937,20,98,46,4415,138,58,31,31.768,R. Lapébie,Fra,26
1938,21,96,55,4694,148,29,12,31.565,G. Bartali,Ita,24
1939,18,79,49,4224,132,3,17,31.986,S. Maes,Bel,30
1947,21,100,53,4642,148,11,25,31.412,J. Robic,Fra,26
1948,21,120,44,4922,147,10,36,33.442,G. Bartali,Ita,34
1949,21,120,55,4808,149,40,49,32.121,F. Coppi,Ita,30
1950,22,116,51,4773,145,36,46,32.778,F. Kübler,Sui,31
1951,24,123,66,4690,142,20,14,32.949,H. Koblet,Sui,26
1952,23,122,78,4898,151,57,20,32.233,F. Coppi,Ita,33
1953,22,119,76,4476,129,23,25,34.593,L. Bobet,Fra,28
1954,23,110,69,4656,140,6,5,33.229,L. Bobet,Fra,29
1955,22,130,69,4495,130,29,26,34.446,L. Bobet,Fra,30
1956,22,120,88,4498,124,1,16,36.268,R. Walkowiak,Fra,29
1957,22,120,56,4669,135,44,42,34.52,J. Anquetil,Fra,23
1958,24,120,78,4319,116,59,5,36.919,C. Gaul,Lux,26
1959,22,120,65,4358,123,46,45,35.474,F. Bahamontes,Esp,31
1960,22,128,81,4173,112,8,42,37.21,G. Nencini,Ita,30
1961,21,132,72,4397,122,1,33,36.033,J. Anquetil,Fra,27
1962,22,149,94,4274,114,31,45,37.317,J. Anquetil,Fra,28
1963,21,130,76,4138,113,30,5,37.092,J. Anquetil,Fra,29
1964,22,132,81,4504,127,9,44,35.419,J. Anquetil,Fra,30
1965,22,130,96,4188,116,42,6,35.886,F. Gimondi,Ita,23
1966,22,130,82,4329,117,34,21,36.76,L. Aimar,Fra,25
1967,22,130,88,4779,136,53,50,34.756,R. Pingeon,Fra,27
1968,22,110,63,4492,133,49,32,33.556,J. Janssen,Ned,28
1969,22,130,86,4117,116,16,2,35.409,E. Merckx,Bel,24
1970,23,150,100,4254,119,31,49,35.589,E. Merckx,Bel,25
1971,20,130,94,3608,96,45,14,38.084,E. Merckx,Bel,26
1972,20,132,88,3846,108,17,18,35.514,E. Merckx,Bel,27
1973,20,132,87,4090,122,25,34,33.407,L. Ocana,Esp,28
1974,22,130,105,4098,116,16,58,35.241,E. Merckx,Bel,29
1975,22,140,86,4000,114,35,31,34.906,B. Thévenet,Fra,27
1976,22,130,87,4017,116,22,23,34.518,L. Van Impe,Bel,30
1977,22,100,53,4096,115,38,30,35.419,B. Thévenet,Fra,29
1978,22,110,78,3908,108,18,0,36.084,B. Hinault,Fra,24
1979,24,150,90,3765,103,6,50,36.513,B. Hinault,Fra,25
1980,22,130,85,3842,109,19,14,35.144,J. Zoetemelk,Ned,34
1981,24,150,121,3753,96,19,38,38.96,B. Hinault,Fra,27
1982,21,169,125,3507,92,8,46,38.059,B. Hinault,Fra,28
1983,22,140,88,3809,105,7,52,36.23,L. Fignon,Fra,23
1984,23,170,124,4021,112,3,40,35.882,L. Fignon,Fra,24
1985,22,180,144,4109,113,24,23,36.232,B. Hinault,Fra,31
1986,23,210,132,4094,110,35,19,37.02,G. LeMond,USA,25
1987,25,207,135,4231,115,27,42,36.645,S. Roche,Irl,28
1988,22,198,151,3286,84,27,53,38.909,P. Delgado,Esp,28
1989,21,198,138,3285,87,38,35,37.487,G. LeMond,USA,28
1990,21,198,156,3504,90,43,20,38.621,G. LeMond,USA,29
1991,22,198,158,3914,101,1,20,38.747,M. Indurain,Esp,27
1992,21,198,130,3983,100,49,30,39.504,M. Indurain,Esp,28
1993,20,180,136,3714,95,57,9,38.709,M. Indurain,Esp,29
1994,21,189,117,3978,103,38,38,38.383,M. Indurain,Esp,30
1995,20,189,115,3635,92,44,59,39.193,M. Indurain,Esp,31
1996,21,198,129,3765,95,57,16,39.227,B. Riis,Dan,32
1997,21,198,139,3950,100,30,35,39.237,J. Ullrich,Ger,24
1998,21,189,96,3875,92,49,46,39.983,M. Pantani,Ita,28
1999,20,180,141,3870,91,32,16,40.276,L. Armstrong,USA,28
2000,21,177,128,3662,92,33,8,39.569,L. Armstrong,USA,29
2001,20,189,144,3458,86,17,28,40.07,L. Armstrong,USA,30
2002,20,189,153,3278,82,5,12,39.92,L. Armstrong,USA,31
2003,20,198,147,3427,83,41,12,40.94,L. Armstrong,USA,32
2004,20,188,147,3391,83,36,2,40.553,L. Armstrong,USA,33
2005,21,189,155,3593,86,15,2,41.654,L. Armstrong,USA,34
2006,21,176,139,3657,89,39,30,40.784,O. Pereiro,Esp,30
2007,21,189,141,3570,91,0,26,39.228,A. Contador,Esp,24
2008,21,180,145,3559,87,52,52,40.492,C. Sastre,Esp,33
2009,21,180,156,3460,85,48,35,40.315,A. Contador,Esp,26
2010,20,198,170,3642,91,58,48,39.594,A. Schleck,Lux,25
2011,21,198,167,3630,86,12,22,39.788,C. Evans,Aus,34
2012,20,198,153,3497,87,34,47,39.883,B. Wiggins,Gbr,32
2013,21,198,169,3404,83,56,40,40.542,C. Froome,Gbr,28
2014,21,198,164,3659,89,59,6,40.662,V. Nibali,Ita,29
2015,21,198,160,3354,84,46,14,39.567,C. Froome,Gbr,30
2016,21,198,174,3529,89,4,48,39.571,C. Froome,Gbr,31
2017,21,198,167,3540,86,20,55,40.995,C. Froome,Gbr,32
