battVoltage,battTemp,battLevel,battLevelDiff,binderTransaction,binderReply,binderAcquire,binderRelease,binderActiveNodes,binderTotalNodes,binderActiveRef,binderTotalRef,binderActiveDeath,binderTotalDeath,binderActiveTransaction,binderTotalTransaction,binderActiveTransactionComplete,binderTotalTransactionComplete,binderTotalNodesDiff,binderTotalRefDiff,binderTotalDeathDiff,binderTotalTransactionDiff,binderTotalTransactionCompleteDiff,cpuUsage,memActive,memInactive,memMapped,memFreePages,memAnonPages,memFilePages,memDirtyPages,memWritebackPages,networkTotalTXPackets,networkTotalTXBytes,networkTotalRXPackets,networkTotalRXBytes,networkTotalTXPacketsDiff,networkTotalTXBytesDiff,networkTotalRXPacketsDiff,networkTotalRXBytesDiff,permissions,class
4160,330,98,0,11817,10487,3448,1975,601,2652,993,3449,183,1966,1,22304,0,0,703,708,702,2862,0,99.40358,214316,57720,94632,1047,37745,30350,17,0,237,22076,354,243540,0,0,0,0,111,1
4160,330,98,0,13004,11419,3669,2187,600,2849,1003,3670,190,2128,0,24423,0,0,197,221,162,2119,0,100,212952,55808,92088,881,39311,27964,23,0,248,24682,364,245109,11,2606,10,1569,112,1
4160,330,98,0,14469,12735,4111,2605,625,3290,1027,4112,190,2553,0,27204,0,0,441,442,425,2781,0,99.400002,213396,54852,92124,1166,39728,27439,7,0,249,24740,365,245149,1,58,1,40,112,1
4160,330,98,0,15149,13274,4236,2747,602,3409,986,4237,185,2637,0,28423,0,0,119,125,84,1219,0,54.004108,209392,55548,90244,2209,38668,27672,2,0,249,24740,365,245149,0,0,0,0,112,1
4160,330,98,0,15414,13454,4244,2755,602,3417,986,4245,185,2637,0,28868,0,0,8,8,0,445,0,37.575756,209680,55556,90248,2151,38720,27674,1,0,249,24740,365,245149,0,0,0,0,112,1
4160,330,98,0,15660,13606,4254,2761,606,3427,990,4255,185,2637,0,29266,0,0,10,10,0,398,0,31.526104,209720,55572,90264,2147,38730,27680,1,0,249,24740,365,245149,0,0,0,0,112,1
4160,330,98,0,15966,13838,4269,2767,611,3438,999,4270,186,2644,0,29804,0,0,11,15,7,538,0,38.603695,209816,57368,90648,1697,38749,28131,1,0,249,24740,365,245149,0,0,0,0,112,1
4163,330,97,0,179048,140806,12062,8386,779,9336,1202,12063,191,4508,9,319851,0,0,17,18,5,1299,0,54.813358,218392,22948,93436,2906,49134,11298,15,0,5818,632737,8745,10051446,0,0,0,0,123,1
4163,330,97,0,179827,141324,12078,8399,783,9350,1206,12079,192,4510,10,321148,0,0,14,16,2,1297,0,56.158665,219188,23096,94496,2606,49324,11347,9,0,5818,632737,8745,10051446,0,0,0,0,123,1
4163,330,97,0,180917,142019,12116,8463,759,9383,1180,12117,191,4512,9,322933,0,0,33,38,2,1785,0,70.14315,219224,24536,94988,2064,49317,11706,2,0,5847,636635,8766,10054881,29,3898,21,3435,123,1
4163,330,97,0,181308,142273,12130,8515,722,9397,1142,12131,191,4515,9,323578,0,0,14,14,3,645,0,44.488979,218316,25028,95016,2199,49063,11837,13,0,5855,637955,8773,10057018,8,1320,7,2137,123,1
4163,330,97,0,182066,142776,12138,8534,712,9405,1131,12139,191,4515,10,324839,0,0,8,8,0,1261,0,52.121212,218400,25280,99408,2139,49108,11895,9,0,5855,637955,8773,10057018,0,0,0,0,123,1
4163,330,97,0,182221,142907,12138,8534,712,9405,1131,12139,190,4515,9,325125,0,0,0,0,0,286,0,33.333332,217952,25288,99412,2199,49007,11897,4,0,5855,637955,8773,10057018,0,0,0,0,123,1
4163,330,97,0,182323,142991,12138,8534,712,9405,1131,12139,190,4515,9,325311,0,0,0,0,0,186,0,29.778671,217988,25420,99440,2216,49008,11930,1,0,5855,637955,8773,10057018,0,0,0,0,123,1
4163,330,97,0,182778,143318,12142,8536,714,9409,1133,12143,190,4516,9,326093,0,0,4,4,1,782,0,50.319828,217956,25916,99524,2062,48998,12055,6,0,5890,652948,8800,10071452,35,14993,27,14434,123,1
4163,330,97,0,182918,143446,12148,8540,716,9415,1135,12149,191,4518,9,326361,0,0,6,6,2,268,0,33.532932,218000,25916,99524,2062,49015,12055,1,0,5890,652948,8800,10071452,0,0,0,0,123,1
4180,330,98,1,183090,143599,12159,8550,717,9426,1136,12160,191,4519,9,326686,0,0,11,11,1,325,0,35.483871,217940,25924,99528,2045,48992,12057,1,0,5890,652948,8800,10071452,0,0,0,0,123,1
4180,330,98,0,188434,147918,13489,9235,688,10301,1117,13490,192,4888,12,336348,0,0,143,169,70,1132,0,91.383217,221984,37124,93300,605,46395,18496,0,0,5959,666312,8859,10102199,29,6786,26,10678,113,-1
4180,330,98,0,189486,148721,13739,9332,798,10502,1260,13740,199,4953,12,338203,0,0,201,250,65,1855,0,99.712646,228032,32844,99280,879,49090,16212,7,0,5986,671281,8881,10108767,27,4969,22,6568,231,-1
4180,330,98,0,190335,149355,13888,9453,798,10628,1237,13889,196,5019,12,339686,0,0,126,149,66,1483,0,89.512192,222748,36460,97420,754,47214,17733,9,0,6121,688015,9035,10276326,135,16734,154,167559,111,-1
4180,330,98,0,190656,149541,13916,9457,811,10646,1252,13917,193,5027,12,340193,0,0,18,28,8,507,0,43.892338,222416,35004,97552,1277,47021,17344,5,0,6123,688573,9037,10277142,2,558,2,816,111,-1
4177,340,97,-1,190759,149605,13916,9457,811,10646,1252,13917,192,5027,12,340360,1,0,0,0,0,167,0,29.508196,222368,36456,97752,872,47086,17720,6,0,6123,688573,9037,10277142,0,0,0,0,111,-1
4177,340,97,0,191037,149819,13931,9461,815,10661,1245,13932,191,5032,12,340852,0,0,15,15,5,492,0,42.505592,219304,32788,99964,1524,46528,16581,1,0,6123,688573,9037,10277142,0,0,0,0,111,-1
4177,340,97,0,191342,150035,13962,9556,743,10679,1182,13963,194,5036,12,341373,0,0,18,31,4,521,0,71.753983,226988,29056,98944,656,49614,14492,29,0,6315,715203,9243,10524255,192,26630,206,247113,113,-1
4177,340,97,0,191725,150309,13984,9567,751,10696,1194,13985,196,5039,12,342030,0,0,17,22,3,657,0,65.720528,228004,27760,94460,912,50226,13800,10,0,6382,724715,9305,10585759,67,9512,62,61504,113,-1
4177,340,97,0,192144,150617,14006,9580,750,10714,1179,14007,191,5042,12,342757,0,0,18,22,3,727,0,58.015266,215148,23452,88508,6041,46654,13344,1,0,6397,725633,9319,10586355,15,918,14,596,111,-1
4177,340,97,0,192458,150817,14014,9586,752,10720,1182,14015,192,5044,12,343270,1,0,6,8,2,513,0,41.448692,215360,23612,90620,5906,46441,13386,1,0,6397,725633,9319,10586355,0,0,0,0,111,-1
4177,340,97,0,192993,151186,14066,9621,755,10753,1200,14067,198,5051,12,344174,0,0,33,52,7,904,0,58.266129,224260,23596,92292,2302,48611,13436,8,0,6410,727505,9328,10588588,13,1872,9,2233,113,-1
4177,340,97,0,193663,151654,14114,9656,766,10796,1212,14115,200,5055,12,345312,0,0,43,48,4,1138,0,78.78788,227384,24980,93612,1452,50631,12543,1,0,6620,757038,9553,10870996,210,29533,225,282408,113,-1
4177,340,97,0,194132,151979,14128,9668,759,10807,1191,14129,193,5056,12,346105,0,0,11,14,1,793,0,43.912174,216048,19872,89168,6639,46514,12549,8,0,6637,758048,9569,10871660,17,1010,16,664,111,-1
4177,340,97,0,194370,152132,14131,9673,759,10810,1190,14132,192,5057,12,346496,0,0,3,3,1,391,0,33.536587,215984,19872,89120,6682,46499,12548,1,0,6637,758048,9569,10871660,0,0,0,0,111,-1
4177,340,97,0,194590,152278,14137,9678,760,10815,1191,14138,191,5058,12,346862,0,0,5,6,1,366,0,35.555557,215836,19872,89140,6697,46497,12549,1,0,6637,758048,9569,10871660,0,0,0,0,111,-1
4177,340,97,0,195257,152661,14191,9717,762,10850,1207,14192,197,5066,12,347912,0,0,35,54,8,1050,0,58.78788,225392,20024,90720,2849,48919,12594,50,0,6736,769594,9682,11008715,99,11546,113,137055,113,-1
